Year,Series,Units,Value
2016,Proportion of forest area with a long-term management plan,Percentage,8.57
2017,Proportion of forest area with a long-term management plan,Percentage,11.43
2018,Proportion of forest area with a long-term management plan,Percentage,11.43
2019,Proportion of forest area with a long-term management plan,Percentage,11.43
2020,Proportion of forest area with a long-term management plan,Percentage,11.43
2016,Proportion of forest area within legally established protected areas,Percentage,8.57
2017,Proportion of forest area within legally established protected areas,Percentage,11.43
2018,Proportion of forest area within legally established protected areas,Percentage,11.43
2019,Proportion of forest area within legally established protected areas,Percentage,11.43
2020,Proportion of forest area within legally established protected areas,Percentage,11.43
