Year,Series,Education level,Institution type,Value
2018,Proportion of schools with access to electricity,Upper Secondary,,100
2019,Proportion of schools with access to electricity,Upper Secondary,,100
2020,Proportion of schools with access to electricity,Upper Secondary,,100
2021,Proportion of schools with access to electricity,Upper Secondary,,100
2022,Proportion of schools with access to electricity,Upper Secondary,,100
2023,Proportion of schools with access to electricity,Upper Secondary,,100
2024,Proportion of schools with access to electricity,Upper Secondary,,100
2025,Proportion of schools with access to electricity,Upper Secondary,,100
2015,Proportion of schools with basic handwashing facilities,Primary,,100
2016,Proportion of schools with basic handwashing facilities,Primary,,100
2017,Proportion of schools with basic handwashing facilities,Primary,,100
2018,Proportion of schools with basic handwashing facilities,Primary,,100
2019,Proportion of schools with basic handwashing facilities,Primary,,100
2020,Proportion of schools with basic handwashing facilities,Primary,,100
2021,Proportion of schools with basic handwashing facilities,Primary,,100
2022,Proportion of schools with basic handwashing facilities,Primary,,100
2023,Proportion of schools with basic handwashing facilities,Primary,,100
2024,Proportion of schools with basic handwashing facilities,Primary,,100
2025,Proportion of schools with basic handwashing facilities,Primary,,100
2015,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2016,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2017,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2018,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2019,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2020,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2021,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2022,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2023,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2024,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2025,Proportion of schools with basic handwashing facilities,Lower Secondary,,100
2015,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2016,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2017,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2018,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2019,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2020,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2021,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2022,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2023,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2024,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2025,Proportion of schools with basic handwashing facilities,Upper Secondary,,100
2015,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2016,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2017,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2018,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2019,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2020,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2021,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2022,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2023,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2024,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2025,Proportion of schools with access to the internet for pedagogical purposes,Primary,,100
2015,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2016,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2017,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2018,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2019,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2020,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2021,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2022,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2023,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2024,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2025,Proportion of schools with access to the internet for pedagogical purposes,Lower Secondary,,100
2015,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2016,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2017,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2018,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2019,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2020,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2021,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2022,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2023,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2024,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2025,Proportion of schools with access to the internet for pedagogical purposes,Upper Secondary,,100
2015,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2016,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2017,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2018,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2019,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2020,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2021,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2022,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2023,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2024,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2025,Proportion of schools with access to single-sex basic sanitation,Primary,All Institutions,97
2015,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2016,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2017,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2018,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2019,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2020,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2021,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2022,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2023,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2024,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2025,Proportion of schools with access to single-sex basic sanitation,Lower Secondary,All Institutions,98
2015,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2016,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2017,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2018,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2019,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2020,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2021,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2022,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2023,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2024,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2025,Proportion of schools with access to single-sex basic sanitation,Upper Secondary,All Institutions,98
2015,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,78
2016,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,81
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,84
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,85
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,85
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,86
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,86
2022,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,87
2023,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,87
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities,Primary,All Institutions,89
