Year,Value,Series
2015,89.63,Proportion of total wastewater flow treated
2015,4.02,Proportion of total wastewater flow safely treated
2016,95.46,Proportion of total wastewater flow treated
2016,4.25,Proportion of total wastewater flow safely treated
2017,98.31,Proportion of total wastewater flow treated
2017,7.47,Proportion of total wastewater flow safely treated
2018,94.47,Proportion of total wastewater flow treated
2018,0.55,Proportion of total wastewater flow safely treated
2019,76.05,Proportion of total wastewater flow treated
2019,0.0,Proportion of total wastewater flow safely treated
2020,83.22,Proportion of total wastewater flow treated
2020,6.96,Proportion of total wastewater flow safely treated
2021,76.59,Proportion of total wastewater flow treated
2021,7.54,Proportion of total wastewater flow safely treated
2022,75.1,Proportion of total wastewater flow treated
2022,7.47,Proportion of total wastewater flow safely treated
2023,71.97,Proportion of total wastewater flow treated
2023,8.12,Proportion of total wastewater flow safely treated
