Year,Series,Units,Value
2010,MVA as a proportion of GDP,Percentage (%),10.9
2011,MVA as a proportion of GDP,Percentage (%),10.7
2012,MVA as a proportion of GDP,Percentage (%),10.8
2013,MVA as a proportion of GDP,Percentage (%),9.9
2014,MVA as a proportion of GDP,Percentage (%),9.0
2015,MVA as a proportion of GDP,Percentage (%),8.0
2016,MVA as a proportion of GDP,Percentage (%),7.6
2017,MVA as a proportion of GDP,Percentage (%),7.1
2018,MVA as a proportion of GDP,Percentage (%),7.1
2019,MVA as a proportion of GDP,Percentage (%),6.7
2020,MVA as a proportion of GDP,Percentage (%),6.6
2021,MVA as a proportion of GDP,Percentage (%),6.1
2022,MVA as a proportion of GDP,Percentage (%),6.2
2023,MVA as a proportion of GDP,Percentage (%),5.8
2024,MVA as a proportion of GDP,Percentage (%),5.8
2010,MVA per capita,Constant 2015 US$,2991.2
2011,MVA per capita,Constant 2015 US$,3094.6
2012,MVA per capita,Constant 2015 US$,2999.5
2013,MVA per capita,Constant 2015 US$,2977.3
2014,MVA per capita,Constant 2015 US$,2856.6
2015,MVA per capita,Constant 2015 US$,2259.5
2016,MVA per capita,Constant 2015 US$,2183.8
2017,MVA per capita,Constant 2015 US$,2299.8
2018,MVA per capita,Constant 2015 US$,2458.6
2019,MVA per capita,Constant 2015 US$,2212.2
2020,MVA per capita,Constant 2015 US$,2087.4
2021,MVA per capita,Constant 2015 US$,2277.0
2022,MVA per capita,Constant 2015 US$,2035.5
2023,MVA per capita,Constant 2015 US$,2096.1
2024,MVA per capita,Constant 2015 US$,2196.5
