Year,Value
2010,15.2
2011,15.3
2012,13.4
2013,13.2
2014,12.8
2015,12.4
2016,12.0
2017,11.9
2018,11.5
2019,11.1
2020,11.2
2021,10.6
2022,9.8
2023,10.2
2024,9.7
