Year,Series,Units,Value
2010,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.19
2011,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.19
2012,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.19
2013,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.16
2014,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.14
2015,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.09
2016,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2017,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2018,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2019,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2020,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2021,1. Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant 2017 United States dollars),kgs of CO2 per constant 2017 US$,0.07
2010,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.04
2011,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.02
2012,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.03
2013,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.06
2014,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.07
2015,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.06
2016,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.06
2017,2. Carbon dioxide emissions from manufacturing industries per unit of manufacturing value added (kilogrammes of CO2 per constant 2015 United States dollars),kgs of CO2 per constant 2015 US$,0.06
