Year,Value
2010,95.9
2011,95.2
2012,98.5
2013,102.3
2014,103.7
2015,105.0
2016,99.8
2017,102.5
2018,106.4
2019,99.8
2020,110.1
2021,112.1
2022,105.1
2023,98.3
