Year,Sex,Value
2010,Both Sexes,39.9
2011,Both Sexes,34.76
2012,Both Sexes,29.06
2013,Both Sexes,31.87
2014,Both Sexes,23.75
2015,Both Sexes,21.97
2016,Both Sexes,22.97
2016,Females,32.43
2016,Males,22.29
2017,Both Sexes,28.93
2017,Females,37.93
2017,Males,27.95
2018,Both Sexes,29.61
2018,Females,31.94
2018,Males,29.31
2019,Both Sexes,32.49
2019,Females,22.22
2019,Males,33.43
2020,Both Sexes,30.09
2020,Females,32.76
2020,Males,29.9
2021,Both Sexes,31.6
2021,Females,29.63
2021,Males,31.79
2022,Both Sexes,37.92
2022,Females,50.94
2022,Males,36.56
2023,Both Sexes,40.92
2023,Males,40.89
2023,Females,41.3
