Year,Value,Units,Series
2021,0.09,Square Kilometers,Extent of inland wetlands
2025,0.09,Square Kilometers,Extent of inland wetlands
2021,1.31,Square Kilometers,Wetlands area
2021,0.41,Percentage of Total Land Area,Wetlands area as a percentage of total land area
