Year,Value,Units,Series
2016,43253238,Number of commuters,1. Use of public transport (number of commuters)
2017,48053045,Number of commuters,1. Use of public transport (number of commuters)
2018,53467404,Number of commuters,1. Use of public transport (number of commuters)
2019,57409385,Number of commuters,1. Use of public transport (number of commuters)
2020,33778974,Number of commuters,1. Use of public transport (number of commuters)
2021,35207171,Number of commuters,1. Use of public transport (number of commuters)
2022,49222424,Number of commuters,1. Use of public transport (number of commuters)
2023,67241760,Number of commuters,1. Use of public transport (number of commuters)
2024,75773333,Number of commuters,1. Use of public transport (number of commuters)
2025,82944589,Number of commuters,1. Use of public transport (number of commuters)
2015,741,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2016,744,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2017,738,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2018,727,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2019,709,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2020,709,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2021,713,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2022,690,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2023,674,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2024,673,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
2025,666,"Cars per 1,000 residents","2. Number of passenger cars per 1,000 residents aged 18 and over"
