Year,Value,Series
2010,72.7,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2011,75.6,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2012,78.6,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2013,69.0,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2014,73.2,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2015,57.9,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2016,65.0,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2017,66.7,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2018,66.7,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2019,70.5,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2020,69.4,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2021,63.8,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2022,65.3,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2023,73.3,Percentage of groundwater bodies exceeding the nitrate quality standard of 50mg/L
2023,7.7,Percentage of total number of groundwater bodies with quantitative status having a good chemical status
