Year,Value,Series
2011,97.6,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider
2014,98.1,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider
2017,98.3,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider
2021,97.5,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider
2024,98.4,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider
2011,93.3,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider
2014,94.7,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider
2017,96.0,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider
2021,94.7,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider
2024,93.1,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider
