Year,Value
2010,55.0
2011,52.9
2012,50.7
2013,58.2
2014,56.8
2015,53.1
2016,55.8
2017,56.0
2018,52.4
2019,50.1
2020,50.7
2021,48.7
2022,45.0
2023,45.5
