Year,Value,Units,Series
2010,2,Number,Number of local breeds with unknown risk status
2011,2,Number,Number of local breeds with unknown risk status
2012,2,Number,Number of local breeds with unknown risk status
2013,2,Number,Number of local breeds with unknown risk status
2014,2,Number,Number of local breeds with unknown risk status
2015,2,Number,Number of local breeds with unknown risk status
2016,2,Number,Number of local breeds with unknown risk status
2017,2,Number,Number of local breeds with unknown risk status
2018,2,Number,Number of local breeds with unknown risk status
2019,2,Number,Number of local breeds with unknown risk status
2020,2,Number,Number of local breeds with unknown risk status
2021,2,Number,Number of local breeds with unknown risk status
2022,2,Number,Number of local breeds with unknown risk status
2023,2,Number,Number of local breeds with unknown risk status
2024,2,Number,Number of local breeds with unknown risk status
2023,100,Percentage (%),Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk
2024,100,Percentage (%),Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk
2010,2,Number,Number of local breeds (not extinct)
2011,2,Number,Number of local breeds (not extinct)
2012,2,Number,Number of local breeds (not extinct)
2013,2,Number,Number of local breeds (not extinct)
2014,2,Number,Number of local breeds (not extinct)
2015,2,Number,Number of local breeds (not extinct)
2016,2,Number,Number of local breeds (not extinct)
2017,2,Number,Number of local breeds (not extinct)
2018,2,Number,Number of local breeds (not extinct)
2019,2,Number,Number of local breeds (not extinct)
2020,2,Number,Number of local breeds (not extinct)
2021,2,Number,Number of local breeds (not extinct)
2022,2,Number,Number of local breeds (not extinct)
2023,3,Number,Number of local breeds (not extinct)
2024,3,Number,Number of local breeds (not extinct)
2015,5,Number,Number of transboundary breeds (not extinct)
2016,5,Number,Number of transboundary breeds (not extinct)
2017,5,Number,Number of transboundary breeds (not extinct)
2018,5,Number,Number of transboundary breeds (not extinct)
2019,5,Number,Number of transboundary breeds (not extinct)
2020,5,Number,Number of transboundary breeds (not extinct)
2021,5,Number,Number of transboundary breeds (not extinct)
2022,5,Number,Number of transboundary breeds (not extinct)
2023,7,Number,Number of transboundary breeds (not extinct)
2024,7,Number,Number of transboundary breeds (not extinct)
2015,5,Number,Number of transboundary breeds with unknown risk status
2016,5,Number,Number of transboundary breeds with unknown risk status
2017,5,Number,Number of transboundary breeds with unknown risk status
2018,5,Number,Number of transboundary breeds with unknown risk status
2019,5,Number,Number of transboundary breeds with unknown risk status
2020,5,Number,Number of transboundary breeds with unknown risk status
2021,5,Number,Number of transboundary breeds with unknown risk status
2022,5,Number,Number of transboundary breeds with unknown risk status
2023,7,Number,Number of transboundary breeds with unknown risk status
2024,7,Number,Number of transboundary breeds with unknown risk status
