Year,Value,Units,Series
2015,3.4,Percentage (%),1. Proportion of urban population living in inadequate housing
2016,4.1,Percentage (%),1. Proportion of urban population living in inadequate housing
2017,3.2,Percentage (%),1. Proportion of urban population living in inadequate housing
2018,4.7,Percentage (%),1. Proportion of urban population living in inadequate housing
2019,5.4,Percentage (%),1. Proportion of urban population living in inadequate housing
2020,6.7,Percentage (%),1. Proportion of urban population living in inadequate housing
2021,6.4,Percentage (%),1. Proportion of urban population living in inadequate housing
2022,6.8,Percentage (%),1. Proportion of urban population living in inadequate housing
2023,11.5,Percentage (%),1. Proportion of urban population living in inadequate housing
2024,13.5,Percentage (%),1. Proportion of urban population living in inadequate housing
2010,0.04,Percentage (%),2. Proportion of urban population living in slums
2012,0.04,Percentage (%),2. Proportion of urban population living in slums
2014,0.04,Percentage (%),2. Proportion of urban population living in slums
2016,0.04,Percentage (%),2. Proportion of urban population living in slums
2018,0.04,Percentage (%),2. Proportion of urban population living in slums
2020,0.04,Percentage (%),2. Proportion of urban population living in slums
2022,0.04,Percentage (%),2. Proportion of urban population living in slums
2010,4.0,Percentage (%),3. Share of persons living in overcrowded households
2011,4.4,Percentage (%),3. Share of persons living in overcrowded households
2012,4.0,Percentage (%),3. Share of persons living in overcrowded households
2013,4.5,Percentage (%),3. Share of persons living in overcrowded households
2014,4.0,Percentage (%),3. Share of persons living in overcrowded households
2015,3.8,Percentage (%),3. Share of persons living in overcrowded households
2016,3.0,Percentage (%),3. Share of persons living in overcrowded households
2017,3.0,Percentage (%),3. Share of persons living in overcrowded households
2018,3.4,Percentage (%),3. Share of persons living in overcrowded households
2019,3.7,Percentage (%),3. Share of persons living in overcrowded households
2020,4.2,Percentage (%),3. Share of persons living in overcrowded households
2021,2.9,Percentage (%),3. Share of persons living in overcrowded households
2022,2.8,Percentage (%),3. Share of persons living in overcrowded households
2023,2.4,Percentage (%),3. Share of persons living in overcrowded households
2024,4.4,Percentage (%),3. Share of persons living in overcrowded households
2010,27.5,Percentage (%),4. Population living in an area with noise pollution
2011,30.1,Percentage (%),4. Population living in an area with noise pollution
2012,29.7,Percentage (%),4. Population living in an area with noise pollution
2013,31.0,Percentage (%),4. Population living in an area with noise pollution
2014,30.6,Percentage (%),4. Population living in an area with noise pollution
2015,24.6,Percentage (%),4. Population living in an area with noise pollution
2016,26.2,Percentage (%),4. Population living in an area with noise pollution
2017,24.9,Percentage (%),4. Population living in an area with noise pollution
2018,28.2,Percentage (%),4. Population living in an area with noise pollution
2019,28.3,Percentage (%),4. Population living in an area with noise pollution
2020,30.8,Percentage (%),4. Population living in an area with noise pollution
2021,31.5,Percentage (%),4. Population living in an area with noise pollution
2022,27.6,Percentage (%),4. Population living in an area with noise pollution
2023,31.3,Percentage (%),4. Population living in an area with noise pollution
2024,34.0,Percentage (%),4. Population living in an area with noise pollution
2015,15.5,Percentage (%),6. Material deprivation for the housing dimension
2016,14.7,Percentage (%),6. Material deprivation for the housing dimension
2017,13.9,Percentage (%),6. Material deprivation for the housing dimension
2018,15.8,Percentage (%),6. Material deprivation for the housing dimension
2019,15.1,Percentage (%),6. Material deprivation for the housing dimension
2020,14.1,Percentage (%),6. Material deprivation for the housing dimension
2021,15.1,Percentage (%),6. Material deprivation for the housing dimension
2022,14.0,Percentage (%),6. Material deprivation for the housing dimension
2023,15.3,Percentage (%),6. Material deprivation for the housing dimension
2024,15.6,Percentage (%),6. Material deprivation for the housing dimension
2015,10.1,Percentage (%),7. Population living in households with moisture damages
2016,9.1,Percentage (%),7. Population living in households with moisture damages
2017,8.4,Percentage (%),7. Population living in households with moisture damages
2018,7.1,Percentage (%),7. Population living in households with moisture damages
2019,7.6,Percentage (%),7. Population living in households with moisture damages
2020,6.1,Percentage (%),7. Population living in households with moisture damages
2021,6.2,Percentage (%),7. Population living in households with moisture damages
2022,5.7,Percentage (%),7. Population living in households with moisture damages
2023,7.2,Percentage (%),7. Population living in households with moisture damages
2024,8.9,Percentage (%),7. Population living in households with moisture damages
2015,7.2,Percentage (%),8. Population considering their dwelling as too dark
2016,7.2,Percentage (%),8. Population considering their dwelling as too dark
2017,6.9,Percentage (%),8. Population considering their dwelling as too dark
2018,11.2,Percentage (%),8. Population considering their dwelling as too dark
2019,10.0,Percentage (%),8. Population considering their dwelling as too dark
2020,9.4,Percentage (%),8. Population considering their dwelling as too dark
2021,10.3,Percentage (%),8. Population considering their dwelling as too dark
2022,9.3,Percentage (%),8. Population considering their dwelling as too dark
2023,9.3,Percentage (%),8. Population considering their dwelling as too dark
2024,8.2,Percentage (%),8. Population considering their dwelling as too dark
2011,0.55,Ratio,9. Number of residential dwellings per capita
2021,0.58,Ratio,9. Number of residential dwellings per capita
