Year,Value,Units,Series
2010,1.51,Percentage (%),"1. Annual inflation, consumer prices"
2011,2.72,Percentage (%),"1. Annual inflation, consumer prices"
2012,2.42,Percentage (%),"1. Annual inflation, consumer prices"
2013,1.38,Percentage (%),"1. Annual inflation, consumer prices"
2014,0.31,Percentage (%),"1. Annual inflation, consumer prices"
2015,1.1,Percentage (%),"1. Annual inflation, consumer prices"
2016,0.64,Percentage (%),"1. Annual inflation, consumer prices"
2017,1.37,Percentage (%),"1. Annual inflation, consumer prices"
2018,1.16,Percentage (%),"1. Annual inflation, consumer prices"
2019,1.64,Percentage (%),"1. Annual inflation, consumer prices"
2020,0.64,Percentage (%),"1. Annual inflation, consumer prices"
2021,1.5,Percentage (%),"1. Annual inflation, consumer prices"
2022,6.15,Percentage (%),"1. Annual inflation, consumer prices"
2023,5.09,Percentage (%),"1. Annual inflation, consumer prices"
2024,1.65,Percentage (%),"1. Annual inflation, consumer prices"
2025,2.36,Percentage (%),"1. Annual inflation, consumer prices"
2010,65.0,Percentage (%),2. General government gross debt as a proportion of GDP
2011,68.9,Percentage (%),2. General government gross debt as a proportion of GDP
2012,65.6,Percentage (%),2. General government gross debt as a proportion of GDP
2013,64.9,Percentage (%),2. General government gross debt as a proportion of GDP
2014,60.7,Percentage (%),2. General government gross debt as a proportion of GDP
2015,55.0,Percentage (%),2. General government gross debt as a proportion of GDP
2016,53.1,Percentage (%),2. General government gross debt as a proportion of GDP
2017,45.6,Percentage (%),2. General government gross debt as a proportion of GDP
2018,41.4,Percentage (%),2. General government gross debt as a proportion of GDP
2019,39.2,Percentage (%),2. General government gross debt as a proportion of GDP
2020,48.8,Percentage (%),2. General government gross debt as a proportion of GDP
2021,49.7,Percentage (%),2. General government gross debt as a proportion of GDP
2022,50.3,Percentage (%),2. General government gross debt as a proportion of GDP
2023,46.9,Percentage (%),2. General government gross debt as a proportion of GDP
2024,45.9,Percentage (%),2. General government gross debt as a proportion of GDP
2025,46.4,Percentage (%),2. General government gross debt as a proportion of GDP
2010,-4.1,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2011,-3.1,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2012,-4.8,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2013,-3.2,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2014,-1.5,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2015,-2.3,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2016,0.1,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2017,1.5,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2018,-0.5,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2019,0.1,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2020,-10.2,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2021,-7.4,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2022,-4.9,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2023,-3.9,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2024,-1.9,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2025,-3.3,Percentage (%),3. Cash surplus/deficit as a percentage of GDP
2010,31.8,Percentage (%),4. Tax revenue as a percentage of GDP
2011,32.3,Percentage (%),4. Tax revenue as a percentage of GDP
2012,32.0,Percentage (%),4. Tax revenue as a percentage of GDP
2013,31.6,Percentage (%),4. Tax revenue as a percentage of GDP
2014,31.8,Percentage (%),4. Tax revenue as a percentage of GDP
