Year,Value,Units,Series
2016,"79,338",Number of calls,2. Total yearly calls to Freephone 153
2017,"480,049",Number of calls,2. Total yearly calls to Freephone 153
2018,"533,962",Number of calls,2. Total yearly calls to Freephone 153
2019,"651,466",Number of calls,2. Total yearly calls to Freephone 153
2020,"949,990",Number of calls,2. Total yearly calls to Freephone 153
2021,"833,418",Number of calls,2. Total yearly calls to Freephone 153
2022,"755,873",Number of calls,2. Total yearly calls to Freephone 153
2023,"867,450",Number of calls,2. Total yearly calls to Freephone 153
2018,"1,219,092",Number of views,3. Total website pages views per year
2019,"1,976,531",Number of views,3. Total website pages views per year
2020,"2,928,623",Number of views,3. Total website pages views per year
2021,"2,504,104",Number of views,3. Total website pages views per year
2022,"2,489,986",Number of views,3. Total website pages views per year
2023,"2,608,113",Number of views,3. Total website pages views per year
