Year,Value,Units,Series
2010,2,Number of breeds,1. Number of local breeds kept in the country
2011,2,Number of breeds,1. Number of local breeds kept in the country
2012,2,Number of breeds,1. Number of local breeds kept in the country
2013,2,Number of breeds,1. Number of local breeds kept in the country
2014,2,Number of breeds,1. Number of local breeds kept in the country
2015,2,Number of breeds,1. Number of local breeds kept in the country
2016,2,Number of breeds,1. Number of local breeds kept in the country
2017,2,Number of breeds,1. Number of local breeds kept in the country
2018,2,Number of breeds,1. Number of local breeds kept in the country
2019,2,Number of breeds,1. Number of local breeds kept in the country
2020,2,Number of breeds,1. Number of local breeds kept in the country
2021,2,Number of breeds,1. Number of local breeds kept in the country
2022,2,Number of breeds,1. Number of local breeds kept in the country
2023,3,Number of breeds,1. Number of local breeds kept in the country
2024,3,Number of breeds,1. Number of local breeds kept in the country
2010,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2011,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2012,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2013,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2014,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2015,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2016,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2017,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2018,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2019,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2020,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2021,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2022,5,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2023,7,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2024,7,Number of breeds,2. Number of transboundary breeds (including extinct ones)
2023,0,Number of breeds,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution
2024,0,Number of breeds,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution
2010,9,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2012,11,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2014,66,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2016,94,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2017,105,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2018,121,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2019,125,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2020,127,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2021,127,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2022,127,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2023,138,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
2024,127,Number of unique accessions,4. Plant genetic resources accessions stored ex situ
