Year,Value,Series
2010,52.11,"Number of automated teller machines (ATMs) per 100,000 adults"
2011,55.09,"Number of automated teller machines (ATMs) per 100,000 adults"
2012,59.97,"Number of automated teller machines (ATMs) per 100,000 adults"
2013,58.43,"Number of automated teller machines (ATMs) per 100,000 adults"
2014,55.0,"Number of automated teller machines (ATMs) per 100,000 adults"
2015,54.91,"Number of automated teller machines (ATMs) per 100,000 adults"
2016,54.63,"Number of automated teller machines (ATMs) per 100,000 adults"
2017,54.35,"Number of automated teller machines (ATMs) per 100,000 adults"
2018,51.95,"Number of automated teller machines (ATMs) per 100,000 adults"
2019,48.27,"Number of automated teller machines (ATMs) per 100,000 adults"
2020,45.38,"Number of automated teller machines (ATMs) per 100,000 adults"
2021,44.62,"Number of automated teller machines (ATMs) per 100,000 adults"
2022,42.49,"Number of automated teller machines (ATMs) per 100,000 adults"
2023,41.44,"Number of automated teller machines (ATMs) per 100,000 adults"
2010,39.37,"Number of commercial bank branches per 100,000 adults"
2011,41.31,"Number of commercial bank branches per 100,000 adults"
2012,37.76,"Number of commercial bank branches per 100,000 adults"
2013,37.68,"Number of commercial bank branches per 100,000 adults"
2014,36.85,"Number of commercial bank branches per 100,000 adults"
2015,36.96,"Number of commercial bank branches per 100,000 adults"
2016,34.05,"Number of commercial bank branches per 100,000 adults"
2017,31.87,"Number of commercial bank branches per 100,000 adults"
2018,29.31,"Number of commercial bank branches per 100,000 adults"
2019,27.23,"Number of commercial bank branches per 100,000 adults"
2020,23.47,"Number of commercial bank branches per 100,000 adults"
2021,22.87,"Number of commercial bank branches per 100,000 adults"
2022,22.11,"Number of commercial bank branches per 100,000 adults"
2023,21.66,"Number of commercial bank branches per 100,000 adults"
