Year,Series,Age,Sex,Value
2014,1. Unemployment rate,25-74,Males,5.1
2015,1. Unemployment rate,25-74,Both Sexes,4.4
2015,1. Unemployment rate,25-74,Females,4.5
2015,1. Unemployment rate,25-74,Males,4.3
2016,1. Unemployment rate,25-74,Both Sexes,3.8
2016,1. Unemployment rate,25-74,Females,4.1
2016,1. Unemployment rate,25-74,Males,3.6
2017,1. Unemployment rate,25-74,Both Sexes,3.1
2017,1. Unemployment rate,25-74,Females,3.3
2017,1. Unemployment rate,25-74,Males,2.9
2018,1. Unemployment rate,25-74,Both Sexes,3.2
2018,1. Unemployment rate,25-74,Females,3.2
2018,1. Unemployment rate,25-74,Males,3.2
2019,1. Unemployment rate,25-74,Both Sexes,3.3
2019,1. Unemployment rate,25-74,Females,4.1
2019,1. Unemployment rate,25-74,Males,2.8
2020,1. Unemployment rate,25-74,Both Sexes,4.1
2020,1. Unemployment rate,25-74,Females,4.7
2020,1. Unemployment rate,25-74,Males,3.6
2021,1. Unemployment rate,25-74,Both Sexes,3.1
2021,1. Unemployment rate,25-74,Females,3.3
2021,1. Unemployment rate,25-74,Males,3.0
2022,1. Unemployment rate,25-74,Both Sexes,2.9
2022,1. Unemployment rate,25-74,Females,2.8
2022,1. Unemployment rate,25-74,Males,2.9
2023,1. Unemployment rate,25-74,Both Sexes,2.9
2023,1. Unemployment rate,25-74,Females,2.9
2023,1. Unemployment rate,25-74,Males,2.9
2024,1. Unemployment rate,25-74,Both Sexes,2.6
2024,1. Unemployment rate,25-74,Females,2.5
2024,1. Unemployment rate,25-74,Males,2.7
2025,1. Unemployment rate,25-74,Both Sexes,2.5
2025,1. Unemployment rate,25-74,Females,2.3
2025,1. Unemployment rate,25-74,Males,2.6
2010,2. Employment rate (20-64 years),,Both Sexes,60.1
2010,2. Employment rate (20-64 years),,Females,41.6
2010,2. Employment rate (20-64 years),,Males,78.2
2011,2. Employment rate (20-64 years),,Both Sexes,61.6
2011,2. Employment rate (20-64 years),,Females,43.8
2011,2. Employment rate (20-64 years),,Males,79.0
2012,2. Employment rate (20-64 years),,Both Sexes,63.9
2012,2. Employment rate (20-64 years),,Females,48.0
2012,2. Employment rate (20-64 years),,Males,79.4
2013,2. Employment rate (20-64 years),,Both Sexes,66.2
2013,2. Employment rate (20-64 years),,Females,51.7
2013,2. Employment rate (20-64 years),,Males,80.3
2014,2. Employment rate (20-64 years),,Both Sexes,67.9
2014,2. Employment rate (20-64 years),,Females,54.3
2014,2. Employment rate (20-64 years),,Males,81.1
2015,2. Employment rate (20-64 years),,Both Sexes,69.0
2015,2. Employment rate (20-64 years),,Females,55.3
2015,2. Employment rate (20-64 years),,Males,82.1
2016,2. Employment rate (20-64 years),,Both Sexes,71.1
2016,2. Employment rate (20-64 years),,Females,58.0
2016,2. Employment rate (20-64 years),,Males,83.5
2017,2. Employment rate (20-64 years),,Both Sexes,73.0
2017,2. Employment rate (20-64 years),,Females,60.6
2017,2. Employment rate (20-64 years),,Males,84.7
2018,2. Employment rate (20-64 years),,Both Sexes,74.9
2018,2. Employment rate (20-64 years),,Females,63.2
2018,2. Employment rate (20-64 years),,Males,85.5
2019,2. Employment rate (20-64 years),,Both Sexes,75.6
2019,2. Employment rate (20-64 years),,Females,63.9
2019,2. Employment rate (20-64 years),,Males,85.9
2020,2. Employment rate (20-64 years),,Both Sexes,76.0
2020,2. Employment rate (20-64 years),,Females,66.0
2020,2. Employment rate (20-64 years),,Males,84.9
2021,2. Employment rate (20-64 years),,Both Sexes,77.8
2021,2. Employment rate (20-64 years),,Females,68.4
2021,2. Employment rate (20-64 years),,Males,86.0
2022,2. Employment rate (20-64 years),,Both Sexes,80.1
2022,2. Employment rate (20-64 years),,Females,72.9
2022,2. Employment rate (20-64 years),,Males,86.2
2023,2. Employment rate (20-64 years),,Both Sexes,81.3
2023,2. Employment rate (20-64 years),,Females,73.6
2023,2. Employment rate (20-64 years),,Males,87.7
2024,2. Employment rate (20-64 years),,Both Sexes,82.7
2024,2. Employment rate (20-64 years),,Females,75.3
2024,2. Employment rate (20-64 years),,Males,88.8
2025,2. Employment rate (20-64 years),,Both Sexes,83.6
2025,2. Employment rate (20-64 years),,Females,76.7
2025,2. Employment rate (20-64 years),,Males,89.1
