Year,Sex,Value
2011,Both Sexes,98.8
2012,Both Sexes,98.8
2013,Both Sexes,99.1
2014,Both Sexes,96.6
2015,Both Sexes,99.7
2016,Both Sexes,98.4
2017,Both Sexes,98.9
2018,Both Sexes,97.5
2019,Both Sexes,97.3
2020,Both Sexes,94.5
2021,Both Sexes,93.3
2022,Both Sexes,96.8
2023,Both Sexes,93.5
2011,Females,100.0
2012,Females,100.0
2013,Females,100.0
2014,Females,94.3
2015,Females,99.3
2016,Females,97.1
2017,Females,98.6
2018,Females,97.3
2019,Females,97.2
2020,Females,95.3
2021,Females,94.0
2022,Females,96.2
2023,Females,94.0
2011,Males,97.7
2012,Males,97.8
2013,Males,98.2
2014,Males,98.8
2015,Males,100.0
2016,Males,99.7
2017,Males,99.2
2018,Males,97.7
2019,Males,97.4
2020,Males,93.8
2021,Males,92.8
2022,Males,97.4
2023,Males,93.0
