Year,Series,Units,Value
2012,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),17.5
2013,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),21.3
2014,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),21.7
2015,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),22.6
2016,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),22.4
2017,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),21.9
2018,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),22.0
2019,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),26.3
2020,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),26.3
2021,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),26.3
2022,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),25.2
2023,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),26.0
2024,Proportion of elected seats held by women in deliberative bodies of local government,Percentage (%),27.3
2010,Proportion of seats held by women in national parliaments,Percentage (%),8.7
2011,Proportion of seats held by women in national parliaments,Percentage (%),8.7
2012,Proportion of seats held by women in national parliaments,Percentage (%),8.7
2013,Proportion of seats held by women in national parliaments,Percentage (%),8.7
2014,Proportion of seats held by women in national parliaments,Percentage (%),14.3
2015,Proportion of seats held by women in national parliaments,Percentage (%),12.9
2016,Proportion of seats held by women in national parliaments,Percentage (%),12.9
2017,Proportion of seats held by women in national parliaments,Percentage (%),12.5
2018,Proportion of seats held by women in national parliaments,Percentage (%),11.9
2019,Proportion of seats held by women in national parliaments,Percentage (%),11.9
2020,Proportion of seats held by women in national parliaments,Percentage (%),13.4
2021,Proportion of seats held by women in national parliaments,Percentage (%),13.4
2022,Proportion of seats held by women in national parliaments,Percentage (%),13.4
2023,Proportion of seats held by women in national parliaments,Percentage (%),27.9
2024,Proportion of seats held by women in national parliaments,Percentage (%),27.9
2010,Number of seats held by women in national parliaments,Number of seats,6.0
2011,Number of seats held by women in national parliaments,Number of seats,6.0
2012,Number of seats held by women in national parliaments,Number of seats,6.0
2013,Number of seats held by women in national parliaments,Number of seats,6.0
2014,Number of seats held by women in national parliaments,Number of seats,10.0
2015,Number of seats held by women in national parliaments,Number of seats,9.0
2016,Number of seats held by women in national parliaments,Number of seats,9.0
2017,Number of seats held by women in national parliaments,Number of seats,9.0
2018,Number of seats held by women in national parliaments,Number of seats,8.0
2019,Number of seats held by women in national parliaments,Number of seats,8.0
2020,Number of seats held by women in national parliaments,Number of seats,9.0
2021,Number of seats held by women in national parliaments,Number of seats,9.0
2022,Number of seats held by women in national parliaments,Number of seats,9.0
2023,Number of seats held by women in national parliaments,Number of seats,22.0
2024,Number of seats held by women in national parliaments,Number of seats,22.0
