Year,Series,Value
2015,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,68.0
2016,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2017,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2018,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2019,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2020,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2021,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2022,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2023,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2012,Surface of the marine protected areas,0.3
2016,Surface of the marine protected areas,4.6
2019,Surface of the marine protected areas,5.5
2021,Surface of the marine protected areas,5.5
