Year,Series,Units,Value
2021,Extent of inland wetlands,Square Kilometers,0.09
2025,Extent of inland wetlands,Square Kilometers,0.09
2021,Wetlands area,Square Kilometers,1.31
2021,Wetlands area as a percentage of total land area,Percentage of Total Land Area,0.41
