Year,Series,Units,Value
2010,"1. Annual inflation, consumer prices",Percentage (%),1.51
2011,"1. Annual inflation, consumer prices",Percentage (%),2.72
2012,"1. Annual inflation, consumer prices",Percentage (%),2.42
2013,"1. Annual inflation, consumer prices",Percentage (%),1.38
2014,"1. Annual inflation, consumer prices",Percentage (%),0.31
2015,"1. Annual inflation, consumer prices",Percentage (%),1.1
2016,"1. Annual inflation, consumer prices",Percentage (%),0.64
2017,"1. Annual inflation, consumer prices",Percentage (%),1.37
2018,"1. Annual inflation, consumer prices",Percentage (%),1.16
2019,"1. Annual inflation, consumer prices",Percentage (%),1.64
2020,"1. Annual inflation, consumer prices",Percentage (%),0.64
2021,"1. Annual inflation, consumer prices",Percentage (%),1.5
2022,"1. Annual inflation, consumer prices",Percentage (%),6.15
2023,"1. Annual inflation, consumer prices",Percentage (%),5.09
2024,"1. Annual inflation, consumer prices",Percentage (%),1.65
2025,"1. Annual inflation, consumer prices",Percentage (%),2.36
2010,2. General government gross debt as a proportion of GDP,Percentage (%),65.0
2011,2. General government gross debt as a proportion of GDP,Percentage (%),68.9
2012,2. General government gross debt as a proportion of GDP,Percentage (%),65.6
2013,2. General government gross debt as a proportion of GDP,Percentage (%),64.9
2014,2. General government gross debt as a proportion of GDP,Percentage (%),60.7
2015,2. General government gross debt as a proportion of GDP,Percentage (%),55.0
2016,2. General government gross debt as a proportion of GDP,Percentage (%),53.1
2017,2. General government gross debt as a proportion of GDP,Percentage (%),45.6
2018,2. General government gross debt as a proportion of GDP,Percentage (%),41.4
2019,2. General government gross debt as a proportion of GDP,Percentage (%),39.2
2020,2. General government gross debt as a proportion of GDP,Percentage (%),48.8
2021,2. General government gross debt as a proportion of GDP,Percentage (%),49.7
2022,2. General government gross debt as a proportion of GDP,Percentage (%),50.3
2023,2. General government gross debt as a proportion of GDP,Percentage (%),46.9
2024,2. General government gross debt as a proportion of GDP,Percentage (%),45.9
2025,2. General government gross debt as a proportion of GDP,Percentage (%),46.4
2010,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-4.1
2011,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-3.1
2012,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-4.8
2013,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-3.2
2014,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-1.5
2015,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),-2.3
2016,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),0.1
2017,3. Cash surplus/deficit as a percentage of GDP,Percentage (%),1.5
