Year,Value
2010,0.59
2011,0.67
2012,0.8
2013,0.74
2014,0.69
2015,0.72
2016,0.56
2017,0.56
2018,0.58
2019,0.56
2020,0.65
2021,0.6
2022,0.58
2023,0.64
