Year,Series,Sex,Migratory Status,Units,Value
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",284.65
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Migrants,"per 100,000 workers",260.83
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1314.82
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1313.35
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1612.08
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1390.35
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1150.46
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1073.38
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",1008.84
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Migrants,"per 100,000 workers",723.06
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1624.95
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1547.01
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1464.38
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",1384.41
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",958.12
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",968.18
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",907.93
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Both Sexes,Non-Migrant,"per 100,000 workers",818.1
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",831.46
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",796.17
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",766.74
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",799.92
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",473.15
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",526.52
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",502.32
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Females,Non-Migrant,"per 100,000 workers",481.92
2016,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",2149.92
2017,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",2045.05
2018,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1903.6
2019,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1750.26
2020,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1267.33
2021,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1258.02
2022,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1187.87
2023,"Non-fatal occupational injuries among workers, per 100,000 workers",Males,Non-Migrant,"per 100,000 workers",1066.5
