Year,Series,Value
2010,1. Proportion of population using safely managed sanitation services,53.3
2011,1. Proportion of population using safely managed sanitation services,59.0
2012,1. Proportion of population using safely managed sanitation services,64.6
2013,1. Proportion of population using safely managed sanitation services,70.3
2014,1. Proportion of population using safely managed sanitation services,75.9
2015,1. Proportion of population using safely managed sanitation services,81.6
2016,1. Proportion of population using safely managed sanitation services,87.3
2017,1. Proportion of population using safely managed sanitation services,93.0
2018,1. Proportion of population using safely managed sanitation services,98.7
2019,1. Proportion of population using safely managed sanitation services,100.0
2020,1. Proportion of population using safely managed sanitation services,100.0
2021,1. Proportion of population using safely managed sanitation services,100.0
2022,1. Proportion of population using safely managed sanitation services,100.0
2023,1. Proportion of population using safely managed sanitation services,100.0
2024,1. Proportion of population using safely managed sanitation services,100.0
2010,2. Proportion of population practicing open defecation,0.0
2011,2. Proportion of population practicing open defecation,0.0
2012,2. Proportion of population practicing open defecation,0.0
2013,2. Proportion of population practicing open defecation,0.0
2014,2. Proportion of population practicing open defecation,0.0
2015,2. Proportion of population practicing open defecation,0.0
2016,2. Proportion of population practicing open defecation,0.0
2017,2. Proportion of population practicing open defecation,0.0
2018,2. Proportion of population practicing open defecation,0.0
2019,2. Proportion of population practicing open defecation,0.0
2020,2. Proportion of population practicing open defecation,0.0
2021,2. Proportion of population practicing open defecation,0.0
2022,2. Proportion of population practicing open defecation,0.0
2023,2. Proportion of population practicing open defecation,0.0
2024,2. Proportion of population practicing open defecation,0.0
2010,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2011,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2012,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2013,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2014,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2015,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2016,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2017,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2018,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2019,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2020,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2021,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2022,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2023,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
2024,"3. Proportion having at least a bath, a shower or a toilet in their household",100.0
