Year,Series,Units,Value
2010,MVA as a proportion of GDP,Percentage (%),10.29
2011,MVA as a proportion of GDP,Percentage (%),10.08
2012,MVA as a proportion of GDP,Percentage (%),10.25
2013,MVA as a proportion of GDP,Percentage (%),9.38
2014,MVA as a proportion of GDP,Percentage (%),8.53
2015,MVA as a proportion of GDP,Percentage (%),7.55
2016,MVA as a proportion of GDP,Percentage (%),7.19
2017,MVA as a proportion of GDP,Percentage (%),6.75
2018,MVA as a proportion of GDP,Percentage (%),6.68
2019,MVA as a proportion of GDP,Percentage (%),6.34
2020,MVA as a proportion of GDP,Percentage (%),6.7
2021,MVA as a proportion of GDP,Percentage (%),6.3
2022,MVA as a proportion of GDP,Percentage (%),6.24
2023,MVA as a proportion of GDP,Percentage (%),6.16
2024,MVA as a proportion of GDP,Percentage (%),6.23
2010,MVA per capita (constant 2015 US$),constant 2015 US$,1985.91
2011,MVA per capita (constant 2015 US$),constant 2015 US$,1956.28
2012,MVA per capita (constant 2015 US$),constant 2015 US$,2061.36
2013,MVA per capita (constant 2015 US$),constant 2015 US$,1996.57
2014,MVA per capita (constant 2015 US$),constant 2015 US$,1926.97
2015,MVA per capita (constant 2015 US$),constant 2015 US$,1825.16
2016,MVA per capita (constant 2015 US$),constant 2015 US$,1767.59
2017,MVA per capita (constant 2015 US$),constant 2015 US$,1824.91
2018,MVA per capita (constant 2015 US$),constant 2015 US$,1867.51
2019,MVA per capita (constant 2015 US$),constant 2015 US$,1775.17
2020,MVA per capita (constant 2015 US$),constant 2015 US$,1764.02
2021,MVA per capita (constant 2015 US$),constant 2015 US$,1852.87
2022,MVA per capita (constant 2015 US$),constant 2015 US$,1898.72
2023,MVA per capita (constant 2015 US$),constant 2015 US$,1990.0
2024,MVA per capita (constant 2015 US$),constant 2015 US$,2014.6
