Year,Value
2010,8.44
2011,7.93
2012,9.77
2013,12.0
2014,9.92
2015,7.21
2016,11.24
2017,9.0
2018,10.76
2019,19.47
2020,26.99
2021,11.2
2022,11.67
2023,12.48
2024,10.02
