Year,Value
2010,2965.32
2011,2971.2
2012,3142.6
2013,2834.49
2014,2845.41
2015,2148.53
2016,1851.27
2017,2016.43
2018,2019.8
2019,2127.94
2020,2085.83
2021,2098.72
2022,2262.67
