Year,Series,Units,Value
2021,Extent of inland wetlands (square kilometres),Square Kilometers,0.09
2017,Wetlands area (square kilometres),Square Kilometers,0.0
2017,Wetlands area (% of total land area),Percentage of Total Land Area,0.0
