Year,Value
2010,0.96
2011,0.24
2012,4.29
2013,3.53
2014,5.08
2015,4.28
2016,7.49
2017,5.36
2018,6.21
2019,4.57
2020,7.57
2021,8.69
2022,9.41
2023,15.56
