Year,Series,Units,Value
2017,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),2.636
2018,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),4.815
2019,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),6.727
2020,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),2.904
2021,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),2.751
2022,1. Freight volume (aviation),Millions of Freight Tonne-Kilometres (FTK),8.676
2017,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),2264.761
2018,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),3336.935
2019,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),3372.515
2020,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),816.241
2021,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),909.973
2022,2. Passenger volume (aviation),Millions of Revenue Passenger-Kilometres (RPK),3836.117
2010,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.414
2011,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.407
2012,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.59
2013,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.794
2014,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.924
2015,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),3.121
2016,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),3.152
2017,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),3.246
2018,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),3.414
2019,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.813
2020,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.539
2021,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),3.076
2022,3. Container port traffic (maritime transport),Millions of Twenty-foot Equivalent Units (TEU),2.994
2010,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,8.562
2011,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,7.523
2012,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,6.957
2013,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,6.666
2014,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,7.455
2015,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,7.164
2016,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,7.64
2017,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,7.07
2018,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,6.886
2019,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,8.342
2020,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,6.209
2021,4. Unloaded local cargo (maritime transport),Millions of metric tonnes,5.698
2010,5. Loaded local cargo (maritime transport),Millions of metric tonnes,4.348
2011,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.784
2012,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.214
2013,5. Loaded local cargo (maritime transport),Millions of metric tonnes,2.925
2014,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.815
2015,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.043
2016,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.715
2017,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.21
2018,5. Loaded local cargo (maritime transport),Millions of metric tonnes,2.413
2019,5. Loaded local cargo (maritime transport),Millions of metric tonnes,2.382
2020,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.418
2021,5. Loaded local cargo (maritime transport),Millions of metric tonnes,3.932
