Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-2-2,1
#1-3-1,2
#10-2-1,1
#10-3-1,3
#16-1-1,2
#16-1-4,1
#16-2-2,1
#16-3-2,1
#16-6-2,1
#16-7-1,11
#16-b-1,3
#17-8-1,1
#2-1-2,2
#2-2-1,2
#2-2-2,5
#2-3-1,2
#3-2-1,2
#3-2-2,1
#3-3-1,4
#3-4-1,1
#3-4-2,1
#3-5-1,2
#3-6-1,1
#3-7-1,5
#3-8-1,2
#3-9-3,1
#3-a-1,1
#4-1-1,4
#4-1-2,3
#4-2-2,1
#4-3-1,6
#4-4-1,12
#5-6-1,5
#8-10-2,1
#8-5-1,1
#8-5-2,4
#8-6-1,1
#8-8-1,12
#8-9-2,1
