Value,Disaggregation combinations using this value,Number of indicators
0 - 17,1,1
11-year-olds,2,1
13-year-olds,2,1
15-24,7,3
15-49,3,1
15-74,3,1
15-year-olds,2,1
15+,5,1
18-64,3,3
18+,1,1
< 18Y,1,1
<18Y,2,2
25-34 years,3,1
25-49,1,1
25-74,3,1
25+,1,1
35-44 years,3,1
45-54 years,3,1
<=45Y,1,1
<45Y,4,1
50+,4,2
55-74 years,3,1
65+,3,3
All Ages,13,5
Total,19,2
