Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,4
#1-2-2,4
#10-2-1,4
#10-3-1,1
#11-2-1,1
#16-1-1,2
#16-2-2,9
#16-3-2,1
#16-7-1,6
#16-b-1,1
#17-8-1,1
#2-1-2,2
#2-2-1,2
#2-2-2,2
#2-3-1,2
#3-2-1,2
#3-2-2,1
#3-3-1,4
#3-4-1,1
#3-4-2,1
#3-6-1,1
#3-8-1,2
#3-9-3,1
#3-a-1,1
#4-1-1,4
#4-1-2,3
#4-2-2,1
#4-3-1,5
#4-4-1,9
#8-10-2,5
#8-5-2,4
#8-6-1,1
#8-8-1,12
