Value,Disaggregation combinations using this value,Number of indicators
Biodiversity,3,3
Climate change,3,3
Curricula,3,3
"Environment and sustainability, climate change, and biodiversity",3,3
Environment and sustainability,3,3
National education policies,3,3
Student assessment,3,3
Teacher education,3,3
