Value,Disaggregation combinations using this value,Number of indicators
At least 2G,1,1
At least 3G,1,1
At least 4G,1,1
At least 5G,1,1
Biogases,2,2
Solar photovoltaic (AC),2,2
Solar photovoltaic (DC),2,2
Solar photovoltaic,2,2
Wind,2,2
