Indicator
#1-4-2
#1-5-1
#1-5-2
#1-5-3
#1-a-1
#1-b-1
#10-4-2
#10-7-1
#10-7-3
#10-c-1
#11-3-2
#11-5-1
#11-5-2
#11-5-3
#11-7-2
#11-b-1
#11-c-1
#12-6-1
#13-1-1
#13-1-2
#14-2-1
#15-3-1
#15-7-1
#15-a-1
#15-b-1
#15-c-1
#16-1-3
#16-10-1
#16-2-3
#16-3-3
#16-4-1
#16-7-2
#17-13-1
#17-15-1
#17-16-1
#17-17-1
#17-19-1
#17-3-1
#17-3-2
#17-4-1
#17-9-1
#2-2-1
#2-2-4
#2-3-2
#2-a-2
#2-b-1
#3-7-1
#3-9-1
#3-9-2
#3-b-2
#3-b-3
#4-b-1
#5-3-1
#5-3-2
#5-4-1
#5-6-1
#5-6-2
#5-a-1
#5-a-2
#5-b-1
#5-c-1
#8-7-1
#8-a-1
#9-a-1
