Value,Disaggregation combinations using this value,Number of indicators
Cap/diaphragm,8,2
Coil,8,2
Condom,8,2
Contraceptive pill,8,2
Intra Uterine System,8,2
Natural family planning,8,2
Withdrawal,8,2
