Indicator
#1-1-1
#1-2-2
#1-3-1
#1-4-1
#1-a-2
#10-1-1
#10-2-1
#10-3-1
#10-4-1
#10-5-1
#11-6-1
#12-4-1
#14-1-1
#14-4-1
#14-5-1
#14-7-1
#15-1-2
#16-3-2
#16-5-2
#16-6-1
#16-9-1
#16-b-1
#17-1-2
#17-10-1
#17-12-1
#17-8-1
#2-2-2
#2-2-3
#3-1-2
#3-4-1
#3-8-2
#3-a-1
#3-b-1
#3-d-1
#3-d-2
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-6-1
#4-a-1
#5-2-1
#5-2-2
#5-5-2
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#6-4-2
#6-5-1
#7-1-1
#7-1-2
#7-2-1
#8-1-1
#8-10-2
#8-2-1
#8-3-1
#8-6-1
#8-9-1
#9-1-1
#9-2-2
#9-3-1
#9-3-2
#9-5-1
#9-b-1
#9-c-1
