Indicator
#10-1-1
#10-3-1
#10-7-2
#10-b-1
#11-3-1
#11-4-1
#12-3-1
#12-4-1
#12-7-1
#12-8-1
#13-3-1
#14-7-1
#15-3-1
#16-2-2
#16-3-1
#16-3-2
#16-5-2
#16-7-1
#16-b-1
#17-12-1
#2-2-2
#2-5-2
#3-8-2
#4-1-1
#4-6-1
#4-7-1
#5-2-1
#5-2-2
#6-5-1
#6-6-1
