Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,1
#1-2-2,1
#10-2-1,1
#10-3-1,1
#11-2-1,1
#16-1-1,2
#16-2-2,1
#16-3-2,1
#17-8-1,1
#2-2-2,3
#2-3-1,2
#3-2-1,2
#3-2-2,1
#3-3-1,4
#3-4-1,1
#3-4-2,1
#3-5-2,1
#3-6-1,1
#3-8-1,2
#3-9-3,1
#3-a-1,1
#3-c-1,4
#4-1-1,4
#4-1-2,3
#4-2-2,1
#4-3-1,9
#4-4-1,6
#8-10-2,1
#8-3-1,3
#8-5-1,1
#8-5-2,4
#8-6-1,1
#8-8-1,6
