Indicator
#1-1-1
#1-2-2
#1-3-1
#1-4-1
#1-a-2
#10-1-1
#10-2-1
#10-3-1
#10-4-1
#10-5-1
#10-7-2
#10-b-1
#11-3-1
#11-4-1
#11-6-1
#12-2-1
#12-4-1
#12-7-1
#12-8-1
#12-a-1
#12-b-1
#12-c-1
#13-2-2
#13-3-1
#13-a-1
#14-1-1
#14-4-1
#14-5-1
#14-7-1
#15-1-2
#15-5-1
#16-2-2
#16-3-1
#16-3-2
#16-5-1
#16-5-2
#16-6-1
#16-9-1
#16-b-1
#17-1-2
#17-10-1
#17-12-1
#17-18-1
#17-6-1
#17-7-1
#17-8-1
#2-2-3
#2-3-1
#2-5-1
#2-c-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-3-2
#3-3-3
#3-3-4
#3-3-5
#3-4-1
#3-4-2
#3-5-2
#3-6-1
#3-8-2
#3-9-3
#3-a-1
#3-b-1
#3-d-1
#3-d-2
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#4-6-1
#4-7-1
#4-a-1
#5-2-1
#5-2-2
#5-5-2
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#6-4-1
#6-4-2
#6-5-1
#7-1-1
#7-1-2
#7-2-1
#7-b-1
#8-1-1
#8-10-1
#8-10-2
#8-2-1
#8-3-1
#8-4-1
#8-5-1
#8-6-1
#8-8-2
#8-9-1
#8-9-2
#9-1-1
#9-2-2
#9-3-1
#9-3-2
#9-5-1
#9-5-2
#9-b-1
#9-c-1
