Indicator
#1-1-1
#1-2-1
#1-2-2
#10-2-1
#10-3-1
#11-2-1
#16-1-1
#16-2-2
#16-3-2
#16-7-1
#16-b-1
#17-8-1
#2-1-2
#2-2-1
#2-2-2
#2-3-1
#3-2-1
#3-2-2
#3-3-1
#3-4-1
#3-4-2
#3-6-1
#3-8-1
#3-9-3
#3-a-1
#3-c-1
#4-1-1
#4-1-2
#4-2-2
#4-3-1
#4-4-1
#8-10-2
#8-5-1
#8-5-2
#8-6-1
#8-8-1
