Indicator
#1-5-4
#10-6-1
#11-b-2
#13-1-3
#13-b-1
#15-4-1
#15-4-2
#16-1-2
#16-8-1
#17-11-1
#6-5-2
#6-a-1
#6-b-1
#7-a-1
