Indicator
#1-2-1
#1-2-2
#10-2-1
#10-3-1
#16-2-2
#16-7-1
#16-b-1
#2-2-2
#3-3-1
#3-7-1
#4-3-1
#5-5-2
#5-6-1
#8-10-2
#8-5-2
