Value,Disaggregation combinations using this value,Number of indicators
Above basic information and data literacy skills,3,1
Above basic overall digital skills,3,1
Basic information and data literacy skills,3,1
Basic or above basic information and data literacy skills,3,1
Basic or above basic overall digital skills,3,1
Basic overall digital skills,3,1
Low overall digital skills,3,1
No overall digital skills,3,1
Not used the internet in the last 3 months,3,1
