Year,Value
2010,99.8
2011,99.8
2012,99.5
2013,99.9
2014,99.9
2015,99.8
2016,99.8
2017,99.7
2018,99.7
2019,99.7
2020,99.9
2021,99.8
2022,99.8
2023,99.8
