Year,Series,Sex,Value
2015,Prevalence of moderate or severe food insecurity,Both Sexes,5.8
2015,Prevalence of moderate or severe food insecurity,Females,6.9
2015,Prevalence of moderate or severe food insecurity,Males,4.8
2016,Prevalence of moderate or severe food insecurity,Both Sexes,5.6
2016,Prevalence of moderate or severe food insecurity,Females,6.6
2016,Prevalence of moderate or severe food insecurity,Males,4.6
2017,Prevalence of moderate or severe food insecurity,Both Sexes,5.1
2017,Prevalence of moderate or severe food insecurity,Females,6.6
2017,Prevalence of moderate or severe food insecurity,Males,3.5
2018,Prevalence of moderate or severe food insecurity,Both Sexes,4.4
2018,Prevalence of moderate or severe food insecurity,Females,5.9
2018,Prevalence of moderate or severe food insecurity,Males,2.8
2019,Prevalence of moderate or severe food insecurity,Both Sexes,4.3
2019,Prevalence of moderate or severe food insecurity,Females,5.7
2019,Prevalence of moderate or severe food insecurity,Males,2.9
2020,Prevalence of moderate or severe food insecurity,Both Sexes,5.2
2020,Prevalence of moderate or severe food insecurity,Females,6.4
2020,Prevalence of moderate or severe food insecurity,Males,4.0
2021,Prevalence of moderate or severe food insecurity,Both Sexes,7.2
2021,Prevalence of moderate or severe food insecurity,Females,8.5
2021,Prevalence of moderate or severe food insecurity,Males,5.9
2022,Prevalence of moderate or severe food insecurity,Both Sexes,8.2
2022,Prevalence of moderate or severe food insecurity,Females,9.8
2022,Prevalence of moderate or severe food insecurity,Males,6.6
2023,Prevalence of moderate or severe food insecurity,Both Sexes,9.2
2023,Prevalence of moderate or severe food insecurity,Females,10.4
2023,Prevalence of moderate or severe food insecurity,Males,8.1
2024,Prevalence of moderate or severe food insecurity,Both Sexes,9.0
2024,Prevalence of moderate or severe food insecurity,Females,9.7
2024,Prevalence of moderate or severe food insecurity,Males,8.2
2015,Prevalence of severe food insecurity,Both Sexes,1.5
2015,Prevalence of severe food insecurity,Females,1.8
2015,Prevalence of severe food insecurity,Males,1.2
2016,Prevalence of severe food insecurity,Both Sexes,1.4
2016,Prevalence of severe food insecurity,Females,1.7
2016,Prevalence of severe food insecurity,Males,1.0
2017,Prevalence of severe food insecurity,Both Sexes,1.0
2017,Prevalence of severe food insecurity,Females,1.4
2017,Prevalence of severe food insecurity,Males,0.7
2018,Prevalence of severe food insecurity,Both Sexes,0.8
2018,Prevalence of severe food insecurity,Females,1.1
2018,Prevalence of severe food insecurity,Males,0.5
2019,Prevalence of severe food insecurity,Both Sexes,0.9
2019,Prevalence of severe food insecurity,Females,1.3
2019,Prevalence of severe food insecurity,Males,0.6
2020,Prevalence of severe food insecurity,Both Sexes,1.4
2020,Prevalence of severe food insecurity,Females,1.8
2020,Prevalence of severe food insecurity,Males,1.0
2021,Prevalence of severe food insecurity,Both Sexes,1.9
2021,Prevalence of severe food insecurity,Females,2.3
2021,Prevalence of severe food insecurity,Males,1.5
2022,Prevalence of severe food insecurity,Both Sexes,2.0
2022,Prevalence of severe food insecurity,Females,2.3
2022,Prevalence of severe food insecurity,Males,1.6
2023,Prevalence of severe food insecurity,Both Sexes,2.1
2023,Prevalence of severe food insecurity,Females,2.2
2023,Prevalence of severe food insecurity,Males,2.0
2024,Prevalence of severe food insecurity,Both Sexes,2.1
2024,Prevalence of severe food insecurity,Females,2.3
2024,Prevalence of severe food insecurity,Males,2.0
