Year,Series,Value
2015,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,68.0
2016,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2017,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2018,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2019,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2020,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2021,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2022,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2023,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2024,1. Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas,98.9
2012,2. Surface of the marine protected areas,0.3
2016,2. Surface of the marine protected areas,4.6
2019,2. Surface of the marine protected areas,5.5
2021,2. Surface of the marine protected areas,5.5
2022,2. Surface of the marine protected areas,5.5
