Year,Series,Units,Value
2018,ODA grant equivalent as a percentage of GNI,Percentage (%),0.25
2019,ODA grant equivalent as a percentage of GNI,Percentage (%),0.3
2020,ODA grant equivalent as a percentage of GNI,Percentage (%),0.4
2021,ODA grant equivalent as a percentage of GNI,Percentage (%),0.32
2022,ODA grant equivalent as a percentage of GNI,Percentage (%),0.36
2023,ODA grant equivalent as a percentage of GNI,Percentage (%),0.34
2024,ODA grant equivalent as a percentage of GNI,Percentage (%),0.29
2010,Net ODA flows as a percentage of GNI,Percentage (%),0.18
2011,Net ODA flows as a percentage of GNI,Percentage (%),0.25
2012,Net ODA flows as a percentage of GNI,Percentage (%),0.23
2013,Net ODA flows as a percentage of GNI,Percentage (%),0.2
2014,Net ODA flows as a percentage of GNI,Percentage (%),0.2
2015,Net ODA flows as a percentage of GNI,Percentage (%),0.17
2016,Net ODA flows as a percentage of GNI,Percentage (%),0.2
2017,Net ODA flows as a percentage of GNI,Percentage (%),0.21
