Year,Sex,Value
2010,Both Sexes,28.7
2010,Females,23.7
2010,Males,33.7
2015,Both Sexes,27.1
2015,Females,23.5
2015,Males,30.7
2020,Both Sexes,25.7
2020,Females,23.3
2020,Males,28.1
2024,Both Sexes,24.6
2024,Females,23.1
2024,Males,26.0
