Year,Series,Units,Value
2010,MVA as a proportion of GDP,Percentage (%),10.9
2011,MVA as a proportion of GDP,Percentage (%),10.7
2012,MVA as a proportion of GDP,Percentage (%),10.8
2013,MVA as a proportion of GDP,Percentage (%),9.9
2014,MVA as a proportion of GDP,Percentage (%),9.0
2015,MVA as a proportion of GDP,Percentage (%),8.0
2016,MVA as a proportion of GDP,Percentage (%),7.6
2017,MVA as a proportion of GDP,Percentage (%),7.1
2018,MVA as a proportion of GDP,Percentage (%),7.1
2019,MVA as a proportion of GDP,Percentage (%),6.7
2020,MVA as a proportion of GDP,Percentage (%),6.6
2021,MVA as a proportion of GDP,Percentage (%),6.0
2022,MVA as a proportion of GDP,Percentage (%),6.2
2023,MVA as a proportion of GDP,Percentage (%),5.9
2024,MVA as a proportion of GDP,Percentage (%),6.1
2025,MVA as a proportion of GDP,Percentage (%),5.7
2010,MVA per capita,Constant 2015 US$,2991.0
2011,MVA per capita,Constant 2015 US$,3095.0
2012,MVA per capita,Constant 2015 US$,3000.0
2013,MVA per capita,Constant 2015 US$,2977.0
2014,MVA per capita,Constant 2015 US$,2857.0
2015,MVA per capita,Constant 2015 US$,2260.0
2016,MVA per capita,Constant 2015 US$,2184.0
2017,MVA per capita,Constant 2015 US$,2300.0
2018,MVA per capita,Constant 2015 US$,2459.0
2019,MVA per capita,Constant 2015 US$,2212.0
2020,MVA per capita,Constant 2015 US$,2087.0
2021,MVA per capita,Constant 2015 US$,2246.0
2022,MVA per capita,Constant 2015 US$,2069.0
2023,MVA per capita,Constant 2015 US$,2107.0
2024,MVA per capita,Constant 2015 US$,2202.0
2025,MVA per capita,Constant 2015 US$,2215.0
