Year,Value
2010,11.85
2011,12.95
2012,13.21
2013,12.99
2014,12.79
2015,12.13
2016,11.93
2017,12.09
2018,11.4
2019,11.53
2020,2.45
2021,3.94
2022,8.39
2023,9.64
2024,10.99
