Year,Value
2010,less than 2.5
2011,less than 2.5
2012,less than 2.5
2013,less than 2.5
2014,less than 2.5
2015,less than 2.5
2016,less than 2.5
2017,less than 2.5
2018,less than 2.5
2019,less than 2.5
2020,less than 2.5
2021,less than 2.5
2022,less than 2.5
