Year,Series,Value
2016,1. Data sources performance index (Statistical Performance Indicators Pillar 4),70.8
2017,1. Data sources performance index (Statistical Performance Indicators Pillar 4),68.5
2018,1. Data sources performance index (Statistical Performance Indicators Pillar 4),68.6
2019,1. Data sources performance index (Statistical Performance Indicators Pillar 4),68.6
2020,1. Data sources performance index (Statistical Performance Indicators Pillar 4),74.5
2021,1. Data sources performance index (Statistical Performance Indicators Pillar 4),78.6
2022,1. Data sources performance index (Statistical Performance Indicators Pillar 4),74.6
2016,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70.0
2017,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70.0
2018,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),70.0
2019,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75.0
2020,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),80.0
2021,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75.0
2022,2. Data infrastructure performance index (Statistical Performance Indicators Pillar 5),75.0
2020,3. Open Data Inventory (ODIN) Coverage Index,44.0
2022,3. Open Data Inventory (ODIN) Coverage Index,46.0
2024,3. Open Data Inventory (ODIN) Coverage Index,53.0
