Year,Series,Units,Value
2010,1. Number of local breeds (not extinct),Number of breeds,2
2011,1. Number of local breeds (not extinct),Number of breeds,2
2012,1. Number of local breeds (not extinct),Number of breeds,2
2013,1. Number of local breeds (not extinct),Number of breeds,2
2014,1. Number of local breeds (not extinct),Number of breeds,2
2015,1. Number of local breeds (not extinct),Number of breeds,2
2016,1. Number of local breeds (not extinct),Number of breeds,2
2017,1. Number of local breeds (not extinct),Number of breeds,2
2018,1. Number of local breeds (not extinct),Number of breeds,2
2019,1. Number of local breeds (not extinct),Number of breeds,2
2020,1. Number of local breeds (not extinct),Number of breeds,2
2021,1. Number of local breeds (not extinct),Number of breeds,2
2022,1. Number of local breeds (not extinct),Number of breeds,2
2023,1. Number of local breeds (not extinct),Number of breeds,3
2024,1. Number of local breeds (not extinct),Number of breeds,3
2025,1. Number of local breeds (not extinct),Number of breeds,3
2010,2. Number of local breeds with unknown risk status,Number of breeds,2
2011,2. Number of local breeds with unknown risk status,Number of breeds,2
2012,2. Number of local breeds with unknown risk status,Number of breeds,2
2013,2. Number of local breeds with unknown risk status,Number of breeds,2
2014,2. Number of local breeds with unknown risk status,Number of breeds,2
2015,2. Number of local breeds with unknown risk status,Number of breeds,2
2016,2. Number of local breeds with unknown risk status,Number of breeds,2
2017,2. Number of local breeds with unknown risk status,Number of breeds,2
2018,2. Number of local breeds with unknown risk status,Number of breeds,2
2019,2. Number of local breeds with unknown risk status,Number of breeds,2
2020,2. Number of local breeds with unknown risk status,Number of breeds,2
2021,2. Number of local breeds with unknown risk status,Number of breeds,2
2022,2. Number of local breeds with unknown risk status,Number of breeds,2
2023,2. Number of local breeds with unknown risk status,Number of breeds,2
2024,2. Number of local breeds with unknown risk status,Number of breeds,2
2025,2. Number of local breeds with unknown risk status,Number of breeds,2
2023,3. Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk,Percentage (%),100
2024,3. Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk,Percentage (%),100
2025,3. Proportion of local breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk,Percentage (%),100
2015,4. Number of transboundary breeds (not extinct),Number of breeds,5
2016,4. Number of transboundary breeds (not extinct),Number of breeds,5
2017,4. Number of transboundary breeds (not extinct),Number of breeds,5
2018,4. Number of transboundary breeds (not extinct),Number of breeds,5
2019,4. Number of transboundary breeds (not extinct),Number of breeds,5
2020,4. Number of transboundary breeds (not extinct),Number of breeds,5
2021,4. Number of transboundary breeds (not extinct),Number of breeds,5
2022,4. Number of transboundary breeds (not extinct),Number of breeds,5
2023,4. Number of transboundary breeds (not extinct),Number of breeds,7
2024,4. Number of transboundary breeds (not extinct),Number of breeds,7
2025,4. Number of transboundary breeds (not extinct),Number of breeds,7
2015,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2016,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2017,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2018,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2019,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2020,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2021,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2022,5. Number of transboundary breeds with unknown risk status,Number of breeds,5
2023,5. Number of transboundary breeds with unknown risk status,Number of breeds,7
2024,5. Number of transboundary breeds with unknown risk status,Number of breeds,7
2025,5. Number of transboundary breeds with unknown risk status,Number of breeds,6
2025,6. Proportion of transboundary breeds classified as being at risk of extinction as a share of local breeds with known level of extinction risk,Percentage (%),0
