Year,Series,Value
2010,"Number of automated teller machines (ATMs) per 100,000 adults",52.11
2011,"Number of automated teller machines (ATMs) per 100,000 adults",55.09
2012,"Number of automated teller machines (ATMs) per 100,000 adults",59.97
2013,"Number of automated teller machines (ATMs) per 100,000 adults",58.43
2014,"Number of automated teller machines (ATMs) per 100,000 adults",55.0
2015,"Number of automated teller machines (ATMs) per 100,000 adults",54.91
2016,"Number of automated teller machines (ATMs) per 100,000 adults",54.63
2017,"Number of automated teller machines (ATMs) per 100,000 adults",54.35
2018,"Number of automated teller machines (ATMs) per 100,000 adults",51.95
2019,"Number of automated teller machines (ATMs) per 100,000 adults",48.27
2020,"Number of automated teller machines (ATMs) per 100,000 adults",45.38
2021,"Number of automated teller machines (ATMs) per 100,000 adults",44.62
2022,"Number of automated teller machines (ATMs) per 100,000 adults",42.49
2023,"Number of automated teller machines (ATMs) per 100,000 adults",41.44
2010,"Number of commercial bank branches per 100,000 adults",39.37
2011,"Number of commercial bank branches per 100,000 adults",41.31
2012,"Number of commercial bank branches per 100,000 adults",37.76
2013,"Number of commercial bank branches per 100,000 adults",37.68
2014,"Number of commercial bank branches per 100,000 adults",36.85
2015,"Number of commercial bank branches per 100,000 adults",36.96
2016,"Number of commercial bank branches per 100,000 adults",34.05
2017,"Number of commercial bank branches per 100,000 adults",31.87
2018,"Number of commercial bank branches per 100,000 adults",29.31
2019,"Number of commercial bank branches per 100,000 adults",27.23
2020,"Number of commercial bank branches per 100,000 adults",23.47
2021,"Number of commercial bank branches per 100,000 adults",22.87
2022,"Number of commercial bank branches per 100,000 adults",22.11
2023,"Number of commercial bank branches per 100,000 adults",21.66
