Year,Value
2010,55.6
2011,56.3
2012,54.1
2013,61.9
2014,60.5
2015,56.6
2016,56.5
2017,57.9
2018,56.1
2019,53.9
2020,53.7
2021,51.5
2022,47.8
2023,48.7
2024,53.0
