Year,Value
2010,71.4
2011,84.6
2012,92.9
2013,78.6
2014,92.9
2015,71.4
2016,78.6
2017,78.6
2018,78.6
2019,84.6
2020,80.0
2021,73.3
2022,80.0
2023,73.3
2024,73.3
2025,80.0
