Year,Value,Units,Series
2014,226.9,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2015,224.48,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2016,232.22,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2017,246.24,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2018,237.06,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2019,235.94,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2020,227.65,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2021,186.66,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2022,202.13,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2023,191.68,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2024,172.0,KGOE per thousand euro,Energy intensity of GDP in chain linked volumes (2015)
2014,3.9,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2015,3.94,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2016,3.81,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2017,3.6,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2018,3.73,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2019,3.75,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2020,3.89,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2021,4.74,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2022,4.38,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2023,4.62,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
2024,5.15,Euro per KGOE,Energy productivity in Euro per kilogramme of oil equivalent (KGOE)
