Year,Value
2010,100.0
2011,100.0
2012,100.0
2013,99.9
2014,99.9
2015,99.9
2016,99.9
2017,99.9
2018,99.9
2019,99.9
2020,99.9
2021,99.9
2022,99.8
2023,99.8
2024,99.8
